seed,n,k,negative_fraction,bloom,filtered_set,set,speedup,backend_fraction,extra_backend_ns_break_even
1,20000,1,0.0,3.615415,24.818955,18.626875,0.7505100436339885,1.0,inf
1,20000,1,0.5,19.403335,34.7525,33.87375,0.9747140493489678,0.547635,1.942568501099768
1,20000,1,0.9,9.677085,18.681875,28.966875,1.5505336054330734,0.18508,-12.620870760320033
1,20000,1,1.0,6.444585,10.19667,28.356665,2.780973102002909,0.09412,-20.046799796882592
1,20000,3,0.0,10.36396,33.80583,18.76729,0.5551495111937793,1.0,inf
1,20000,3,0.5,23.625415,37.126665,33.439375,0.9006835114330898,0.50867,7.504711700893502
1,20000,3,0.9,23.29625,28.40021,29.73417,1.0469700752212747,0.115805,-1.508671729652393
1,20000,3,1.0,15.94604,17.338955,27.69354,1.5971862202768277,0.01752,-10.539232350785767
1,20000,7,0.0,23.50458,47.866045,18.750835,0.39173562386447425,1.0,inf
1,20000,7,0.5,31.10979,44.31167,33.184165,0.7488809381366128,0.50408,22.43810493628004
1,20000,7,0.9,39.81125,46.377085,31.182705,0.6723731127128839,0.107485,17.024229284661885
1,20000,7,1.0,39.13417,40.33521,29.249375,0.7251573749089196,0.00836,11.179293896978738
1,20000,11,0.0,37.662085,62.791665,18.983545,0.3023258739834339,1.0,inf
1,20000,11,0.5,38.73,52.46146,33.215,0.6331314454458569,0.505985,38.95926237057579
1,20000,11,0.9,41.578125,47.11896,30.025,0.6372169504590084,0.1106,19.219653699123008
1,20000,11,1.0,42.688335,44.354375,28.569585,0.6441210139924191,0.011765,15.972708920449081
1,200000,1,0.0,3.76292,27.659585,21.256665,0.7685099035289215,1.0,inf
1,200000,1,0.5,20.010625,37.71917,35.61854,0.9443086897193126,0.54688,4.635924258474566
1,200000,1,0.9,10.165415,20.41167,31.397085,1.5381928573213264,0.185295,-13.483917491607391
1,200000,1,1.0,6.76125,10.93458,30.11542,2.754145106625037,0.09467,-21.18657285188826
1,200000,3,0.0,10.529375,36.983335,20.5,0.5543037154437263,1.0,inf
1,200000,3,0.5,25.59146,41.597085,35.74354,0.8592799231003808,0.50859,11.911733582955163
1,200000,3,0.9,24.842915,30.92542,31.52083,1.0192530934098873,0.115765,-0.6733617194524093
1,200000,3,1.0,17.150415,18.72979,31.218335,1.6667744272626654,0.017655,-12.712992889463475
1,200000,7,0.0,24.27625,53.05542,20.786875,0.39179550364505644,1.0,inf
1,200000,7,0.5,33.03271,49.766455,36.01854,0.7237513702754195,0.50395,27.714776736216105
1,200000,7,0.9,40.839375,47.0725,31.87771,0.6772045249349408,0.10726,17.020397876201354
1,200000,7,1.0,45.839375,48.363335,63.495625,1.3128876451551572,0.008165,-15.256862280520446
1,200000,11,0.0,57.68979,115.029165,30.831665,0.2680334591666383,1.0,inf
