n,k,negative_fraction,method,mean,ci95_half,seed_count
20000,1,0.0,bloom,3.6295824999999997,0.057869863240294896,4
20000,1,0.0,filtered_set,26.58848875,5.559539610077327,4
20000,1,0.0,set,19.0069275,0.9150508240165884,4
20000,1,0.5,bloom,19.766615,2.592006323343524,4
20000,1,0.5,filtered_set,35.62182375,3.3302206391677456,4
20000,1,0.5,set,34.46708375,3.2763124520227143,4
20000,1,0.9,bloom,10.309687499999999,2.0646908217398687,4
20000,1,0.9,filtered_set,19.31453,1.4340959334563232,4
20000,1,0.9,set,30.84052,5.424206301487359,4
20000,1,1.0,bloom,7.20354125,2.3665355724505313,4
20000,1,1.0,filtered_set,10.23859375,0.052844483117326764,4
20000,1,1.0,set,29.3870825,3.637875569707152,4
20000,3,0.0,bloom,13.54442875,10.245699120880362,4
20000,3,0.0,filtered_set,44.88265625,36.03392429829035,4
20000,3,0.0,set,26.23005125,22.786502861715952,4
20000,3,0.5,bloom,25.390051250000003,5.438987829056817,4
20000,3,0.5,filtered_set,38.8095825,5.23949358376297,4
20000,3,0.5,set,37.80041625,14.020199547320974,4
20000,3,0.9,bloom,23.772552500000003,0.7510326277399697,4
20000,3,0.9,filtered_set,28.48875,0.3461689674148694,4
20000,3,0.9,set,30.91073,3.9699627428473785,4
20000,3,1.0,bloom,16.29614625,1.2462114586128343,4
20000,3,1.0,filtered_set,18.0697925,2.2089444112940826,4
20000,3,1.0,set,31.130103750000004,9.943616708441587,4
20000,7,0.0,bloom,27.473125,12.142566535207923,4
20000,7,0.0,filtered_set,51.7140625,12.247870740978621,4
20000,7,0.0,set,19.75947875,2.71784954587658,4
20000,7,0.5,bloom,33.430260000000004,7.363191034579493,4
20000,7,0.5,filtered_set,48.6413025,14.192078859341851,4
20000,7,0.5,set,35.48421999999999,5.829129894376779,4
20000,7,0.9,bloom,40.1275525,4.151854272368367,4
20000,7,0.9,filtered_set,45.478125,3.2524904646042914,4
20000,7,0.9,set,33.46786375,8.758980661355041,4
20000,7,1.0,bloom,38.882448749999995,0.48718126874010653,4
20000,7,1.0,filtered_set,40.74979125,1.201520338403238,4
20000,7,1.0,set,29.0718225,1.5009191200077205,4
20000,11,0.0,bloom,37.998698749999996,0.645267491608676,4
20000,11,0.0,filtered_set,65.25416750000001,8.854056232739119,4
20000,11,0.0,set,19.250835000000002,0.6066462760861147,4
20000,11,0.5,bloom,39.01703,0.8673621606374351,4
20000,11,0.5,filtered_set,52.81875,0.476593998515103,4
20000,11,0.5,set,33.668125,0.5857929972416441,4
20000,11,0.9,bloom,41.3786975,0.7195315031161627,4
20000,11,0.9,filtered_set,46.24671875,0.9327976691930875,4
20000,11,0.9,set,29.696666250000003,0.7948542135351517,4
20000,11,1.0,bloom,41.83567875000001,0.9398613826361316,4
20000,11,1.0,filtered_set,44.17046875,0.27692351164793905,4
20000,11,1.0,set,28.26583375,0.6879176402322263,4
200000,1,0.0,bloom,3.779115,0.09686973204637324,4
200000,1,0.0,filtered_set,28.72869875,4.347039321589302,4
