seed,n,k,negative_fraction,repeat,method,ns_per_query,mean_probes,returned_positive
1,20000,7,0,0,full_scan,22.35521,7,200000
1,20000,7,0,0,early_exit,25.0125,7,200000
1,20000,7,0,1,full_scan,22.81,7,200000
1,20000,7,0,1,early_exit,24.75396,7,200000
1,20000,7,0,2,full_scan,22.35125,7,200000
1,20000,7,0,2,early_exit,24.799165,7,200000
1,20000,7,0,3,early_exit,23.909585,7,200000
1,20000,7,0,3,full_scan,22.4475,7,200000
1,20000,7,0,4,early_exit,35.797085,7,200000
1,20000,7,0,4,full_scan,25.73229,7,200000
1,20000,7,0,5,early_exit,24.45583,7,200000
1,20000,7,0,5,full_scan,22.61875,7,200000
1,20000,7,0,6,full_scan,25.810625,7,200000
1,20000,7,0,6,early_exit,24.003125,7,200000
1,20000,7,1,0,full_scan,24.28104,7,1672
1,20000,7,1,0,early_exit,51.118335,2.00263,1672
1,20000,7,1,1,early_exit,58.484165,2.00263,1672
1,20000,7,1,1,full_scan,23.8775,7,1672
1,20000,7,1,2,early_exit,43.815625,2.00263,1672
1,20000,7,1,2,full_scan,22.583125,7,1672
1,20000,7,1,3,full_scan,22.482705,7,1672
1,20000,7,1,3,early_exit,38.602915,2.00263,1672
1,20000,7,1,4,early_exit,37.91271,2.00263,1672
1,20000,7,1,4,full_scan,22.55146,7,1672
1,20000,7,1,5,full_scan,22.632915,7,1672
1,20000,7,1,5,early_exit,37.96146,2.00263,1672
1,20000,7,1,6,early_exit,37.76875,2.00263,1672
1,20000,7,1,6,full_scan,22.32,7,1672
1,200000,7,0,0,full_scan,23.180835,7,200000
1,200000,7,0,0,early_exit,24.28854,7,200000
1,200000,7,0,1,full_scan,23.743955,7,200000
1,200000,7,0,1,early_exit,24.829165,7,200000
1,200000,7,0,2,full_scan,23.38,7,200000
1,200000,7,0,2,early_exit,24.469585,7,200000
1,200000,7,0,3,early_exit,25.322915,7,200000
1,200000,7,0,3,full_scan,23.346665,7,200000
1,200000,7,0,4,early_exit,24.24854,7,200000
1,200000,7,0,4,full_scan,23.386875,7,200000
1,200000,7,0,5,early_exit,24.843125,7,200000
1,200000,7,0,5,full_scan,23.109165,7,200000
1,200000,7,0,6,early_exit,24.249375,7,200000
1,200000,7,0,6,full_scan,23.67146,7,200000
1,200000,7,1,0,early_exit,41.315,1.99311,1633
1,200000,7,1,0,full_scan,23.503335,7,1633
1,200000,7,1,1,full_scan,23.90333,7,1633
1,200000,7,1,1,early_exit,40.95354,1.99311,1633
1,200000,7,1,2,full_scan,24.00375,7,1633
1,200000,7,1,2,early_exit,40.537705,1.99311,1633
1,200000,7,1,3,early_exit,41.07646,1.99311,1633
1,200000,7,1,3,full_scan,23.448955,7,1633
1,200000,7,1,4,full_scan,23.1225,7,1633
1,200000,7,1,4,early_exit,40.54,1.99311,1633
1,200000,7,1,5,early_exit,40.75771,1.99311,1633
1,200000,7,1,5,full_scan,23.88,7,1633
1,200000,7,1,6,early_exit,41.60604,1.99311,1633
1,200000,7,1,6,full_scan,23.257295,7,1633
2,20000,7,0,0,full_scan,22.65604,7,200000
2,20000,7,0,0,early_exit,23.74833,7,200000
2,20000,7,0,1,early_exit,23.43854,7,200000
2,20000,7,0,1,full_scan,22.75396,7,200000
2,20000,7,0,2,early_exit,24.141045,7,200000
2,20000,7,0,2,full_scan,22.40271,7,200000
2,20000,7,0,3,full_scan,22.28083,7,200000
2,20000,7,0,3,early_exit,24.05979,7,200000
2,20000,7,0,4,full_scan,22.4075,7,200000
2,20000,7,0,4,early_exit,23.820205,7,200000
2,20000,7,0,5,full_scan,22.40167,7,200000
2,20000,7,0,5,early_exit,23.69521,7,200000
2,20000,7,0,6,full_scan,23.22396,7,200000
2,20000,7,0,6,early_exit,23.646875,7,200000
2,20000,7,1,0,full_scan,23.23042,7,1682
2,20000,7,1,0,early_exit,38.394375,2.003325,1682
2,20000,7,1,1,full_scan,22.357085,7,1682
2,20000,7,1,1,early_exit,38.683545,2.003325,1682
2,20000,7,1,2,early_exit,38.572085,2.003325,1682
2,20000,7,1,2,full_scan,23.095625,7,1682
2,20000,7,1,3,full_scan,22.91479,7,1682
2,20000,7,1,3,early_exit,38.11458,2.003325,1682
2,20000,7,1,4,early_exit,38.868335,2.003325,1682
2,20000,7,1,4,full_scan,23.327705,7,1682
2,20000,7,1,5,full_scan,23.03979,7,1682
2,20000,7,1,5,early_exit,39.6575,2.003325,1682
2,20000,7,1,6,full_scan,22.55375,7,1682
2,20000,7,1,6,early_exit,38.148125,2.003325,1682
2,200000,7,0,0,early_exit,24.758335,7,200000
2,200000,7,0,0,full_scan,23.553125,7,200000
2,200000,7,0,1,full_scan,22.980415,7,200000
2,200000,7,0,1,early_exit,24.361665,7,200000
2,200000,7,0,2,full_scan,23.39,7,200000
2,200000,7,0,2,early_exit,24.60375,7,200000
2,200000,7,0,3,early_exit,24.42625,7,200000
2,200000,7,0,3,full_scan,24.11021,7,200000
2,200000,7,0,4,full_scan,23.211875,7,200000
2,200000,7,0,4,early_exit,24.91125,7,200000
2,200000,7,0,5,early_exit,25.481875,7,200000
2,200000,7,0,5,full_scan,24.966045,7,200000
2,200000,7,0,6,early_exit,24.96104,7,200000
2,200000,7,0,6,full_scan,23.33875,7,200000
2,200000,7,1,0,full_scan,25.07,7,1648
2,200000,7,1,0,early_exit,40.865,1.99865,1648
2,200000,7,1,1,early_exit,41.408125,1.99865,1648
2,200000,7,1,1,full_scan,23.94979,7,1648
2,200000,7,1,2,early_exit,41.22,1.99865,1648
2,200000,7,1,2,full_scan,23.459375,7,1648
2,200000,7,1,3,early_exit,41.02083,1.99865,1648
2,200000,7,1,3,full_scan,23.26646,7,1648
2,200000,7,1,4,early_exit,41.154165,1.99865,1648
2,200000,7,1,4,full_scan,23.76021,7,1648
2,200000,7,1,5,full_scan,23.51958,7,1648
2,200000,7,1,5,early_exit,40.52625,1.99865,1648
2,200000,7,1,6,early_exit,41.341875,1.99865,1648
2,200000,7,1,6,full_scan,23.44729,7,1648
3,20000,7,0,0,full_scan,22.550625,7,200000
3,20000,7,0,0,early_exit,24.16271,7,200000
3,20000,7,0,1,full_scan,22.70875,7,200000
3,20000,7,0,1,early_exit,23.872915,7,200000
3,20000,7,0,2,early_exit,23.78208,7,200000
3,20000,7,0,2,full_scan,22.2425,7,200000
3,20000,7,0,3,full_scan,22.509165,7,200000
3,20000,7,0,3,early_exit,23.592915,7,200000
3,20000,7,0,4,early_exit,24.069375,7,200000
3,20000,7,0,4,full_scan,22.35917,7,200000
3,20000,7,0,5,early_exit,24.031455,7,200000
3,20000,7,0,5,full_scan,22.6625,7,200000
3,20000,7,0,6,early_exit,23.844585,7,200000
3,20000,7,0,6,full_scan,22.27354,7,200000
3,20000,7,1,0,early_exit,38.764375,2.00034,1640
3,20000,7,1,0,full_scan,22.407085,7,1640
3,20000,7,1,1,full_scan,22.31375,7,1640
3,20000,7,1,1,early_exit,39.082085,2.00034,1640
3,20000,7,1,2,full_scan,22.804795,7,1640
3,20000,7,1,2,early_exit,38.05396,2.00034,1640
3,20000,7,1,3,early_exit,38.304795,2.00034,1640
3,20000,7,1,3,full_scan,22.38917,7,1640
3,20000,7,1,4,full_scan,22.418545,7,1640
3,20000,7,1,4,early_exit,37.651665,2.00034,1640
3,20000,7,1,5,full_scan,22.263125,7,1640
