experiment,seed,n,m,k,queries,false_positives,false_negatives,set_bits,predicted_fpr,storage_bytes
hash_sweep,1,20000,80000,1,200000,43786,0,17656,0.221199216929,10000
hash_sweep,1,20000,80000,2,200000,31034,0,31476,0.154818121746,10000
hash_sweep,1,20000,80000,3,200000,29330,0,42212,0.14689159766,10000
hash_sweep,1,20000,80000,4,200000,31809,0,50506,0.159661300151,10000
hash_sweep,1,20000,80000,5,200000,36446,0,56976,0.184907824237,10000
hash_sweep,1,20000,80000,6,200000,43223,0,61998,0.219831320096,10000
hash_sweep,1,20000,80000,7,200000,51479,0,65926,0.262840454739,10000
hash_sweep,1,20000,80000,8,200000,61444,0,69014,0.312450987236,10000
hash_sweep,1,20000,80000,9,200000,71553,0,71391,0.366997776083,10000
hash_sweep,1,20000,80000,10,200000,83691,0,73320,0.424643690315,10000
hash_sweep,1,20000,80000,11,200000,94600,0,74738,0.483506715298,10000
hash_sweep,1,20000,80000,12,200000,106956,0,75934,0.541815267066,10000
hash_sweep,1,20000,80000,13,200000,118836,0,76858,0.598040232819,10000
hash_sweep,1,20000,80000,14,200000,128755,0,77528,0.650978913929,10000
hash_sweep,1,20000,80000,15,200000,138355,0,78066,0.69978612506,10000
hash_sweep,1,20000,80000,16,200000,147015,0,78482,0.743960639673,10000
hash_sweep,1,20000,160000,1,200000,23137,0,18752,0.117503097415,20000
hash_sweep,1,20000,160000,2,200000,9782,0,35354,0.0489290935698,20000
hash_sweep,1,20000,160000,3,200000,6112,0,50001,0.0305793544918,20000
hash_sweep,1,20000,160000,4,200000,4646,0,62884,0.023968650821,20000
hash_sweep,1,20000,160000,5,200000,4214,0,74229,0.0216792170538,20000
hash_sweep,1,20000,160000,6,200000,4227,0,84249,0.0215771414632,20000
hash_sweep,1,20000,160000,7,200000,4506,0,93126,0.0229297488771,20000
hash_sweep,1,20000,160000,8,200000,5018,0,100925,0.025491730766,20000
hash_sweep,1,20000,160000,9,200000,5717,0,107895,0.0292244171051,20000
hash_sweep,1,20000,160000,10,200000,6730,0,114096,0.0341909034641,20000
hash_sweep,1,20000,160000,11,200000,8003,0,119424,0.0405090755276,20000
hash_sweep,1,20000,160000,12,200000,9526,0,124271,0.048325809295,20000
hash_sweep,1,20000,160000,13,200000,11408,0,128473,0.057799363912,20000
hash_sweep,1,20000,160000,14,200000,13641,0,132114,0.0690851046475,20000
hash_sweep,1,20000,160000,15,200000,16221,0,135356,0.0823228645488,20000
hash_sweep,1,20000,160000,16,200000,19363,0,138245,0.0976256194248,20000
hash_sweep,1,20000,200000,1,200000,18824,0,19029,0.095162581964,25000
hash_sweep,1,20000,200000,2,200000,6524,0,36291,0.0328585398797,25000
hash_sweep,1,20000,200000,3,200000,3504,0,51855,0.0174105864963,25000
hash_sweep,1,20000,200000,4,200000,2359,0,65971,0.0118132709066,25000
hash_sweep,1,20000,200000,5,200000,1881,0,78719,0.00943092922612,25000
hash_sweep,1,20000,200000,6,200000,1669,0,90359,0.00843620926844,25000
hash_sweep,1,20000,200000,7,200000,1672,0,100797,0.00819372206586,25000
hash_sweep,1,20000,200000,8,200000,1710,0,110284,0.00845547233587,25000
hash_sweep,1,20000,200000,9,200000,1825,0,118782,0.00912699305681,25000
hash_sweep,1,20000,200000,10,200000,2073,0,126500,0.010185894032,25000
hash_sweep,1,20000,200000,11,200000,2353,0,133373,0.0116495035547,25000
hash_sweep,1,20000,200000,12,200000,2724,0,139766,0.0135605692898,25000
hash_sweep,1,20000,200000,13,200000,3159,0,145412,0.0159802007758,25000
hash_sweep,1,20000,200000,14,200000,3763,0,150628,0.0189837988642,25000
hash_sweep,1,20000,200000,15,200000,4430,0,155417,0.0226581224589,25000
hash_sweep,1,20000,200000,16,200000,5437,0,159666,0.0270986271281,25000
hash_sweep,1,20000,320000,1,200000,11847,0,19395,0.0605869371865,40000
hash_sweep,1,20000,320000,2,200000,2703,0,37599,0.0138069779022,40000
hash_sweep,1,20000,320000,3,200000,1036,0,54671,0.00499765710079,40000
hash_sweep,1,20000,320000,4,200000,469,0,70815,0.00239405619756,40000
hash_sweep,1,20000,320000,5,200000,279,0,85821,0.00139247083856,40000
hash_sweep,1,20000,320000,6,200000,175,0,100041,0.000935096921134,40000
hash_sweep,1,20000,320000,7,200000,113,0,113376,0.000701519426159,40000
hash_sweep,1,20000,320000,8,200000,113,0,125867,0.00057449622218,40000
hash_sweep,1,20000,320000,9,200000,94,0,137585,0.000504881781943,40000
hash_sweep,1,20000,320000,10,200000,89,0,148640,0.000469988452064,40000
hash_sweep,1,20000,320000,11,200000,91,0,158963,0.000458710730815,40000
hash_sweep,1,20000,320000,12,200000,82,0,168782,0.000465573033724,40000
hash_sweep,1,20000,320000,13,200000,106,0,178038,0.000488132376219,40000
hash_sweep,1,20000,320000,14,200000,118,0,186580,0.000525773383567,40000
hash_sweep,1,20000,320000,15,200000,110,0,194597,0.000579132360643,40000
hash_sweep,1,20000,320000,16,200000,140,0,202330,0.000649828337445,40000
capacity,1,5000,200000,7,200000,0,0,32109,2.74877521398e-06,25000
capacity,1,10000,200000,7,200000,34,0,59054,0.00019586946655,25000
capacity,1,20000,200000,7,200000,1672,0,100797,0.00819372206586,25000
capacity,1,30000,200000,7,200000,9719,0,130155,0.0490551526009,25000
capacity,1,40000,200000,7,200000,27775,0,150930,0.137781707292,25000
capacity,1,60000,200000,7,200000,79844,0,175448,0.400756730355,25000
hash_sweep,2,20000,80000,1,200000,44306,0,17658,0.221199216929,10000
hash_sweep,2,20000,80000,2,200000,31126,0,31444,0.154818121746,10000
hash_sweep,2,20000,80000,3,200000,29517,0,42243,0.14689159766,10000
hash_sweep,2,20000,80000,4,200000,32483,0,50671,0.159661300151,10000
hash_sweep,2,20000,80000,5,200000,37593,0,57220,0.184907824237,10000
hash_sweep,2,20000,80000,6,200000,44435,0,62284,0.219831320096,10000
hash_sweep,2,20000,80000,7,200000,53167,0,66211,0.262840454739,10000
hash_sweep,2,20000,80000,8,200000,63673,0,69348,0.312450987236,10000
hash_sweep,2,20000,80000,9,200000,74273,0,71647,0.366997776083,10000
hash_sweep,2,20000,80000,10,200000,84941,0,73419,0.424643690315,10000
hash_sweep,2,20000,80000,11,200000,96805,0,74888,0.483506715298,10000
hash_sweep,2,20000,80000,12,200000,109064,0,76050,0.541815267066,10000
hash_sweep,2,20000,80000,13,200000,119515,0,76890,0.598040232819,10000
hash_sweep,2,20000,80000,14,200000,130135,0,77575,0.650978913929,10000
hash_sweep,2,20000,80000,15,200000,140212,0,78114,0.69978612506,10000
hash_sweep,2,20000,80000,16,200000,148940,0,78526,0.743960639673,10000
hash_sweep,2,20000,160000,1,200000,23598,0,18762,0.117503097415,20000
hash_sweep,2,20000,160000,2,200000,9874,0,35332,0.0489290935698,20000
hash_sweep,2,20000,160000,3,200000,6187,0,50035,0.0305793544918,20000
