seed,n,m,k,bloom_bytes,set_live_bytes,set_peak_bytes,combined_live_bytes,bloom_build_ns,set_build_ns
1,20000,200000,1,25000,640088,640088,665088,82958,1173792
1,20000,200000,3,25000,640088,640088,665088,229708,1173792
1,20000,200000,7,25000,640088,640088,665088,480500,1173792
1,20000,200000,11,25000,640088,640088,665088,756791,1173792
1,200000,2000000,1,250000,6400024,6400024,6650024,1721084,13728250
1,200000,2000000,3,250000,6400024,6400024,6650024,2262041,13728250
1,200000,2000000,7,250000,6400024,6400024,6650024,4994375,13728250
1,200000,2000000,11,250000,6400024,6400024,6650024,10421000,13728250
2,20000,200000,1,25000,640088,640088,665088,218958,1980417
2,20000,200000,3,25000,640088,640088,665088,495458,1980417
2,20000,200000,7,25000,640088,640088,665088,481416,1980417
2,20000,200000,11,25000,640088,640088,665088,872709,1980417
2,200000,2000000,1,250000,6400024,6400024,6650024,991000,13633083
2,200000,2000000,3,250000,6400024,6400024,6650024,2244167,13633083
2,200000,2000000,7,250000,6400024,6400024,6650024,5041750,13633083
2,200000,2000000,11,250000,6400024,6400024,6650024,7679333,13633083
3,20000,200000,1,25000,640088,640088,665088,89459,1254500
3,20000,200000,3,25000,640088,640088,665088,225875,1254500
3,20000,200000,7,25000,640088,640088,665088,474583,1254500
3,20000,200000,11,25000,640088,640088,665088,784833,1254500
3,200000,2000000,1,250000,6400024,6400024,6650024,937625,14892541
3,200000,2000000,3,250000,6400024,6400024,6650024,2236625,14892541
3,200000,2000000,7,250000,6400024,6400024,6650024,7282666,14892541
3,200000,2000000,11,250000,6400024,6400024,6650024,7646333,14892541
4,20000,200000,1,25000,640088,640088,665088,93833,1174791
4,20000,200000,3,25000,640088,640088,665088,225000,1174791
4,20000,200000,7,25000,640088,640088,665088,484208,1174791
4,20000,200000,11,25000,640088,640088,665088,741458,1174791
4,200000,2000000,1,250000,6400024,6400024,6650024,947667,13999917
4,200000,2000000,3,250000,6400024,6400024,6650024,2296708,13999917
4,200000,2000000,7,250000,6400024,6400024,6650024,4937209,13999917
4,200000,2000000,11,250000,6400024,6400024,6650024,7713583,13999917
