seed,n,m,k,negative_fraction,queries,repeat,order,method,ns_per_query,returned_positive,expected_exact_positive,backend_lookups
1,20000,200000,1,0,200000,0,0,filtered_set,24.50521,200000,200000,200000
1,20000,200000,1,0,200000,0,1,bloom,3.615415,200000,200000,0
1,20000,200000,1,0,200000,0,2,set,19.16833,200000,200000,200000
1,20000,200000,1,0,200000,1,0,set,18.626875,200000,200000,200000
1,20000,200000,1,0,200000,1,1,bloom,3.585205,200000,200000,0
1,20000,200000,1,0,200000,1,2,filtered_set,24.85604,200000,200000,200000
1,20000,200000,1,0,200000,2,0,filtered_set,24.744375,200000,200000,200000
1,20000,200000,1,0,200000,2,1,set,19.055205,200000,200000,200000
1,20000,200000,1,0,200000,2,2,bloom,3.617085,200000,200000,0
1,20000,200000,1,0,200000,3,0,filtered_set,24.72896,200000,200000,200000
1,20000,200000,1,0,200000,3,1,set,18.541045,200000,200000,200000
1,20000,200000,1,0,200000,3,2,bloom,3.588955,200000,200000,0
1,20000,200000,1,0,200000,4,0,filtered_set,25.19229,200000,200000,200000
1,20000,200000,1,0,200000,4,1,bloom,3.617915,200000,200000,0
1,20000,200000,1,0,200000,4,2,set,18.765415,200000,200000,200000
1,20000,200000,1,0,200000,5,0,bloom,3.631045,200000,200000,0
1,20000,200000,1,0,200000,5,1,set,18.57417,200000,200000,200000
1,20000,200000,1,0,200000,5,2,filtered_set,24.818955,200000,200000,200000
1,20000,200000,1,0,200000,6,0,filtered_set,24.91604,200000,200000,200000
1,20000,200000,1,0,200000,6,1,bloom,3.575415,200000,200000,0
1,20000,200000,1,0,200000,6,2,set,18.558545,200000,200000,200000
1,20000,200000,1,0.5,200000,0,0,bloom,18.96146,109527,100000,0
1,20000,200000,1,0.5,200000,0,1,filtered_set,36.22042,100000,100000,109527
1,20000,200000,1,0.5,200000,0,2,set,34.582705,100000,100000,200000
1,20000,200000,1,0.5,200000,1,0,bloom,21.21229,109527,100000,0
1,20000,200000,1,0.5,200000,1,1,filtered_set,37.05521,100000,100000,109527
1,20000,200000,1,0.5,200000,1,2,set,34.27292,100000,100000,200000
1,20000,200000,1,0.5,200000,2,0,bloom,18.66146,109527,100000,0
1,20000,200000,1,0.5,200000,2,1,filtered_set,34.7525,100000,100000,109527
1,20000,200000,1,0.5,200000,2,2,set,33.93292,100000,100000,200000
1,20000,200000,1,0.5,200000,3,0,filtered_set,34.414165,100000,100000,109527
1,20000,200000,1,0.5,200000,3,1,set,33.87375,100000,100000,200000
1,20000,200000,1,0.5,200000,3,2,bloom,18.80333,109527,100000,0
1,20000,200000,1,0.5,200000,4,0,set,33.172705,100000,100000,200000
1,20000,200000,1,0.5,200000,4,1,bloom,19.403335,109527,100000,0
1,20000,200000,1,0.5,200000,4,2,filtered_set,34.604165,100000,100000,109527
1,20000,200000,1,0.5,200000,5,0,bloom,21.617085,109527,100000,0
1,20000,200000,1,0.5,200000,5,1,filtered_set,35.150835,100000,100000,109527
1,20000,200000,1,0.5,200000,5,2,set,32.82625,100000,100000,200000
1,20000,200000,1,0.5,200000,6,0,filtered_set,34.421665,100000,100000,109527
1,20000,200000,1,0.5,200000,6,1,bloom,19.915415,109527,100000,0
1,20000,200000,1,0.5,200000,6,2,set,33.65625,100000,100000,200000
1,20000,200000,1,0.9,200000,0,0,filtered_set,18.47292,20000,20000,37016
1,20000,200000,1,0.9,200000,0,1,set,31.667915,20000,20000,200000
1,20000,200000,1,0.9,200000,0,2,bloom,9.840835,37016,20000,0
1,20000,200000,1,0.9,200000,1,0,set,28.966875,20000,20000,200000
1,20000,200000,1,0.9,200000,1,1,filtered_set,18.951665,20000,20000,37016
1,20000,200000,1,0.9,200000,1,2,bloom,9.54896,37016,20000,0
1,20000,200000,1,0.9,200000,2,0,bloom,9.271875,37016,20000,0
1,20000,200000,1,0.9,200000,2,1,set,28.93854,20000,20000,200000
1,20000,200000,1,0.9,200000,2,2,filtered_set,18.63521,20000,20000,37016
1,20000,200000,1,0.9,200000,3,0,filtered_set,18.63,20000,20000,37016
1,20000,200000,1,0.9,200000,3,1,set,30.700625,20000,20000,200000
1,20000,200000,1,0.9,200000,3,2,bloom,9.677085,37016,20000,0
1,20000,200000,1,0.9,200000,4,0,bloom,9.89667,37016,20000,0
1,20000,200000,1,0.9,200000,4,1,filtered_set,18.9,20000,20000,37016
1,20000,200000,1,0.9,200000,4,2,set,29.614585,20000,20000,200000
1,20000,200000,1,0.9,200000,5,0,set,28.898335,20000,20000,200000
1,20000,200000,1,0.9,200000,5,1,bloom,9.270415,37016,20000,0
1,20000,200000,1,0.9,200000,5,2,filtered_set,18.681875,20000,20000,37016
1,20000,200000,1,0.9,200000,6,0,bloom,9.893335,37016,20000,0
1,20000,200000,1,0.9,200000,6,1,filtered_set,20.011665,20000,20000,37016
1,20000,200000,1,0.9,200000,6,2,set,28.762705,20000,20000,200000
1,20000,200000,1,1,200000,0,0,set,28.55917,0,0,200000
1,20000,200000,1,1,200000,0,1,filtered_set,10.327915,0,0,18824
1,20000,200000,1,1,200000,0,2,bloom,6.567085,18824,0,0
1,20000,200000,1,1,200000,1,0,filtered_set,9.963125,0,0,18824
1,20000,200000,1,1,200000,1,1,bloom,6.34333,18824,0,0
1,20000,200000,1,1,200000,1,2,set,28.037085,0,0,200000
1,20000,200000,1,1,200000,2,0,bloom,6.435625,18824,0,0
1,20000,200000,1,1,200000,2,1,filtered_set,10.19667,0,0,18824
1,20000,200000,1,1,200000,2,2,set,28.356665,0,0,200000
1,20000,200000,1,1,200000,3,0,bloom,6.4475,18824,0,0
1,20000,200000,1,1,200000,3,1,filtered_set,10.175625,0,0,18824
1,20000,200000,1,1,200000,3,2,set,27.63792,0,0,200000
1,20000,200000,1,1,200000,4,0,set,27.947915,0,0,200000
1,20000,200000,1,1,200000,4,1,bloom,6.575625,18824,0,0
1,20000,200000,1,1,200000,4,2,filtered_set,10.305,0,0,18824
1,20000,200000,1,1,200000,5,0,bloom,6.444585,18824,0,0
1,20000,200000,1,1,200000,5,1,filtered_set,10.31521,0,0,18824
1,20000,200000,1,1,200000,5,2,set,28.365625,0,0,200000
1,20000,200000,1,1,200000,6,0,set,28.654375,0,0,200000
1,20000,200000,1,1,200000,6,1,filtered_set,10.09229,0,0,18824
1,20000,200000,1,1,200000,6,2,bloom,6.34208,18824,0,0
1,20000,200000,3,0,200000,0,0,filtered_set,33.88042,200000,200000,200000
1,20000,200000,3,0,200000,0,1,bloom,12.366875,200000,200000,0
1,20000,200000,3,0,200000,0,2,set,19.6525,200000,200000,200000
1,20000,200000,3,0,200000,1,0,set,18.503125,200000,200000,200000
1,20000,200000,3,0,200000,1,1,bloom,10.397085,200000,200000,0
1,20000,200000,3,0,200000,1,2,filtered_set,34.10917,200000,200000,200000
1,20000,200000,3,0,200000,2,0,filtered_set,33.354795,200000,200000,200000
1,20000,200000,3,0,200000,2,1,set,19.336875,200000,200000,200000
1,20000,200000,3,0,200000,2,2,bloom,10.36396,200000,200000,0
1,20000,200000,3,0,200000,3,0,filtered_set,34.398125,200000,200000,200000
1,20000,200000,3,0,200000,3,1,set,18.76729,200000,200000,200000
1,20000,200000,3,0,200000,3,2,bloom,10.27896,200000,200000,0
1,20000,200000,3,0,200000,4,0,filtered_set,33.80583,200000,200000,200000
1,20000,200000,3,0,200000,4,1,bloom,10.851665,200000,200000,0
1,20000,200000,3,0,200000,4,2,set,18.665,200000,200000,200000
1,20000,200000,3,0,200000,5,0,bloom,10.225205,200000,200000,0
1,20000,200000,3,0,200000,5,1,set,18.594585,200000,200000,200000
1,20000,200000,3,0,200000,5,2,filtered_set,33.63625,200000,200000,200000
1,20000,200000,3,0,200000,6,0,filtered_set,32.979375,200000,200000,200000
1,20000,200000,3,0,200000,6,1,bloom,10.255835,200000,200000,0
1,20000,200000,3,0,200000,6,2,set,28.55417,200000,200000,200000
1,20000,200000,3,0.5,200000,0,0,bloom,24.60542,101734,100000,0
1,20000,200000,3,0.5,200000,0,1,filtered_set,36.887085,100000,100000,101734
1,20000,200000,3,0.5,200000,0,2,set,33.439375,100000,100000,200000
1,20000,200000,3,0.5,200000,1,0,bloom,23.722295,101734,100000,0
1,20000,200000,3,0.5,200000,1,1,filtered_set,37.10292,100000,100000,101734
1,20000,200000,3,0.5,200000,1,2,set,34.0375,100000,100000,200000
1,20000,200000,3,0.5,200000,2,0,bloom,23.47875,101734,100000,0
1,20000,200000,3,0.5,200000,2,1,filtered_set,37.126665,100000,100000,101734
1,20000,200000,3,0.5,200000,2,2,set,33.79521,100000,100000,200000
1,20000,200000,3,0.5,200000,3,0,filtered_set,37.17125,100000,100000,101734
1,20000,200000,3,0.5,200000,3,1,set,34.004375,100000,100000,200000
1,20000,200000,3,0.5,200000,3,2,bloom,23.625415,101734,100000,0
1,20000,200000,3,0.5,200000,4,0,set,32.92146,100000,100000,200000
1,20000,200000,3,0.5,200000,4,1,bloom,23.948335,101734,100000,0
1,20000,200000,3,0.5,200000,4,2,filtered_set,36.84021,100000,100000,101734
1,20000,200000,3,0.5,200000,5,0,bloom,23.176045,101734,100000,0
1,20000,200000,3,0.5,200000,5,1,filtered_set,37.858125,100000,100000,101734
1,20000,200000,3,0.5,200000,5,2,set,33.18979,100000,100000,200000
1,20000,200000,3,0.5,200000,6,0,filtered_set,37.92229,100000,100000,101734
1,20000,200000,3,0.5,200000,6,1,bloom,23.420415,101734,100000,0
1,20000,200000,3,0.5,200000,6,2,set,32.776455,100000,100000,200000
1,20000,200000,3,0.9,200000,0,0,filtered_set,27.517085,20000,20000,23161
1,20000,200000,3,0.9,200000,0,1,set,29.73417,20000,20000,200000
1,20000,200000,3,0.9,200000,0,2,bloom,22.800415,23161,20000,0
1,20000,200000,3,0.9,200000,1,0,set,28.894375,20000,20000,200000
1,20000,200000,3,0.9,200000,1,1,filtered_set,28.40021,20000,20000,23161
1,20000,200000,3,0.9,200000,1,2,bloom,23.617295,23161,20000,0
1,20000,200000,3,0.9,200000,2,0,bloom,23.127705,23161,20000,0
1,20000,200000,3,0.9,200000,2,1,set,29.144375,20000,20000,200000
1,20000,200000,3,0.9,200000,2,2,filtered_set,28.96208,20000,20000,23161
1,20000,200000,3,0.9,200000,3,0,filtered_set,28.956665,20000,20000,23161
1,20000,200000,3,0.9,200000,3,1,set,30.36396,20000,20000,200000
1,20000,200000,3,0.9,200000,3,2,bloom,23.318125,23161,20000,0
1,20000,200000,3,0.9,200000,4,0,bloom,22.874375,23161,20000,0
1,20000,200000,3,0.9,200000,4,1,filtered_set,30.145415,20000,20000,23161
1,20000,200000,3,0.9,200000,4,2,set,30.60771,20000,20000,200000
1,20000,200000,3,0.9,200000,5,0,set,28.789795,20000,20000,200000
1,20000,200000,3,0.9,200000,5,1,bloom,23.45958,23161,20000,0
1,20000,200000,3,0.9,200000,5,2,filtered_set,28.33229,20000,20000,23161
1,20000,200000,3,0.9,200000,6,0,bloom,23.29625,23161,20000,0
