seed,n,k,negative_fraction,repeat,method,ns_per_query,returned_positive,expected_positive,backend_calls
1,20000,1,0,0,early_exit,24.706455,200000,200000,200000
1,20000,1,0,0,set,18.599795,200000,200000,200000
1,20000,1,0,0,full_scan,24.549585,200000,200000,200000
1,20000,1,0,1,full_scan,24.27521,200000,200000,200000
1,20000,1,0,1,early_exit,24.67146,200000,200000,200000
1,20000,1,0,1,set,18.519375,200000,200000,200000
1,20000,1,0,2,early_exit,25.032705,200000,200000,200000
1,20000,1,0,2,full_scan,24.401875,200000,200000,200000
1,20000,1,0,2,set,19.205415,200000,200000,200000
1,20000,1,0,3,early_exit,25.64771,200000,200000,200000
1,20000,1,0,3,full_scan,25.20125,200000,200000,200000
1,20000,1,0,3,set,19.10167,200000,200000,200000
1,20000,1,0,4,set,18.5575,200000,200000,200000
1,20000,1,0,4,early_exit,24.76583,200000,200000,200000
1,20000,1,0,4,full_scan,24.83104,200000,200000,200000
1,20000,1,0,5,full_scan,24.195205,200000,200000,200000
1,20000,1,0,5,early_exit,24.525625,200000,200000,200000
1,20000,1,0,5,set,18.56604,200000,200000,200000
1,20000,1,0,6,full_scan,24.32375,200000,200000,200000
1,20000,1,0,6,set,18.49042,200000,200000,200000
1,20000,1,0,6,early_exit,24.664165,200000,200000,200000
1,20000,1,0.5,0,full_scan,34.11667,100000,100000,109527
1,20000,1,0.5,0,set,32.76896,100000,100000,200000
1,20000,1,0.5,0,early_exit,34.995835,100000,100000,109527
1,20000,1,0.5,1,full_scan,34.28292,100000,100000,109527
1,20000,1,0.5,1,early_exit,34.11625,100000,100000,109527
1,20000,1,0.5,1,set,32.95979,100000,100000,200000
1,20000,1,0.5,2,early_exit,34.70542,100000,100000,109527
1,20000,1,0.5,2,full_scan,34.7625,100000,100000,109527
1,20000,1,0.5,2,set,33.089165,100000,100000,200000
1,20000,1,0.5,3,set,33.05146,100000,100000,200000
1,20000,1,0.5,3,full_scan,35.33021,100000,100000,109527
1,20000,1,0.5,3,early_exit,36.60125,100000,100000,109527
1,20000,1,0.5,4,set,33.38333,100000,100000,200000
1,20000,1,0.5,4,early_exit,35.201665,100000,100000,109527
1,20000,1,0.5,4,full_scan,34.507915,100000,100000,109527
1,20000,1,0.5,5,full_scan,34.321455,100000,100000,109527
1,20000,1,0.5,5,early_exit,35.13521,100000,100000,109527
1,20000,1,0.5,5,set,33.21604,100000,100000,200000
1,20000,1,0.5,6,set,33.10292,100000,100000,200000
1,20000,1,0.5,6,full_scan,34.5675,100000,100000,109527
1,20000,1,0.5,6,early_exit,35.061455,100000,100000,109527
1,20000,1,0.9,0,early_exit,18.68771,20000,20000,37016
1,20000,1,0.9,0,full_scan,19.12146,20000,20000,37016
1,20000,1,0.9,0,set,29.086875,20000,20000,200000
1,20000,1,0.9,1,set,28.859795,20000,20000,200000
1,20000,1,0.9,1,full_scan,19.10667,20000,20000,37016
1,20000,1,0.9,1,early_exit,18.624585,20000,20000,37016
1,20000,1,0.9,2,early_exit,18.51771,20000,20000,37016
1,20000,1,0.9,2,full_scan,19.055415,20000,20000,37016
1,20000,1,0.9,2,set,29.20229,20000,20000,200000
1,20000,1,0.9,3,full_scan,19.068125,20000,20000,37016
1,20000,1,0.9,3,set,28.99854,20000,20000,200000
1,20000,1,0.9,3,early_exit,19.052705,20000,20000,37016
