experiment,seed,n,m,k,queries,false_positives,false_negatives,set_bits,predicted_fpr,storage_bytes
hash_sweep,1,2000,8000,1,20000,4478,0,1777,0.221199216929,1000
hash_sweep,1,2000,8000,2,20000,3050,0,3139,0.154818121746,1000
hash_sweep,1,2000,8000,3,20000,2868,0,4180,0.14689159766,1000
hash_sweep,1,2000,8000,4,20000,3119,0,5020,0.159661300151,1000
hash_sweep,1,2000,8000,5,20000,3590,0,5671,0.184907824237,1000
hash_sweep,1,2000,8000,6,20000,4418,0,6203,0.219831320096,1000
hash_sweep,1,2000,8000,7,20000,5157,0,6583,0.262840454739,1000
hash_sweep,1,2000,8000,8,20000,6329,0,6918,0.312450987236,1000
hash_sweep,1,2000,8000,9,20000,7423,0,7162,0.366997776083,1000
hash_sweep,1,2000,8000,10,20000,8597,0,7342,0.424643690315,1000
hash_sweep,1,2000,8000,11,20000,9599,0,7475,0.483506715298,1000
hash_sweep,1,2000,8000,12,20000,10722,0,7593,0.541815267066,1000
hash_sweep,1,2000,8000,13,20000,11849,0,7686,0.598040232819,1000
hash_sweep,1,2000,8000,14,20000,13057,0,7757,0.650978913929,1000
hash_sweep,1,2000,8000,15,20000,13964,0,7808,0.69978612506,1000
hash_sweep,1,2000,8000,16,20000,14895,0,7852,0.743960639673,1000
hash_sweep,1,2000,16000,1,20000,2369,0,1890,0.117503097415,2000
hash_sweep,1,2000,16000,2,20000,955,0,3550,0.0489290935698,2000
hash_sweep,1,2000,16000,3,20000,594,0,4996,0.0305793544918,2000
hash_sweep,1,2000,16000,4,20000,424,0,6275,0.023968650821,2000
hash_sweep,1,2000,16000,5,20000,423,0,7379,0.0216792170538,2000
hash_sweep,1,2000,16000,6,20000,398,0,8426,0.0215771414632,2000
hash_sweep,1,2000,16000,7,20000,418,0,9296,0.0229297488771,2000
hash_sweep,1,2000,16000,8,20000,504,0,10105,0.025491730766,2000
hash_sweep,1,2000,16000,9,20000,552,0,10779,0.0292244171051,2000
hash_sweep,1,2000,16000,10,20000,640,0,11386,0.0341909034641,2000
hash_sweep,1,2000,16000,11,20000,775,0,11918,0.0405090755276,2000
hash_sweep,1,2000,16000,12,20000,924,0,12374,0.048325809295,2000
hash_sweep,1,2000,16000,13,20000,1083,0,12794,0.057799363912,2000
hash_sweep,1,2000,16000,14,20000,1335,0,13174,0.0690851046475,2000
hash_sweep,1,2000,16000,15,20000,1613,0,13510,0.0823228645488,2000
hash_sweep,1,2000,16000,16,20000,1876,0,13791,0.0976256194248,2000
hash_sweep,1,2000,20000,1,20000,1905,0,1900,0.095162581964,2504
hash_sweep,1,2000,20000,2,20000,643,0,3616,0.0328585398797,2504
hash_sweep,1,2000,20000,3,20000,320,0,5152,0.0174105864963,2504
hash_sweep,1,2000,20000,4,20000,223,0,6579,0.0118132709066,2504
hash_sweep,1,2000,20000,5,20000,161,0,7837,0.00943092922612,2504
hash_sweep,1,2000,20000,6,20000,145,0,9001,0.00843620926844,2504
hash_sweep,1,2000,20000,7,20000,135,0,10074,0.00819372206586,2504
hash_sweep,1,2000,20000,8,20000,146,0,11025,0.00845547233587,2504
hash_sweep,1,2000,20000,9,20000,170,0,11905,0.00912699305681,2504
hash_sweep,1,2000,20000,10,20000,199,0,12621,0.010185894032,2504
hash_sweep,1,2000,20000,11,20000,225,0,13324,0.0116495035547,2504
hash_sweep,1,2000,20000,12,20000,278,0,13972,0.0135605692898,2504
hash_sweep,1,2000,20000,13,20000,329,0,14537,0.0159802007758,2504
hash_sweep,1,2000,20000,14,20000,349,0,15045,0.0189837988642,2504
hash_sweep,1,2000,20000,15,20000,430,0,15518,0.0226581224589,2504
hash_sweep,1,2000,20000,16,20000,502,0,15942,0.0270986271281,2504
hash_sweep,1,2000,32000,1,20000,1191,0,1939,0.0605869371865,4000
hash_sweep,1,2000,32000,2,20000,269,0,3762,0.0138069779022,4000
hash_sweep,1,2000,32000,3,20000,95,0,5457,0.00499765710079,4000
hash_sweep,1,2000,32000,4,20000,37,0,7050,0.00239405619756,4000
hash_sweep,1,2000,32000,5,20000,29,0,8527,0.00139247083856,4000
hash_sweep,1,2000,32000,6,20000,17,0,9991,0.000935096921134,4000
hash_sweep,1,2000,32000,7,20000,11,0,11300,0.000701519426159,4000
hash_sweep,1,2000,32000,8,20000,7,0,12571,0.00057449622218,4000
hash_sweep,1,2000,32000,9,20000,8,0,13722,0.000504881781943,4000
hash_sweep,1,2000,32000,10,20000,5,0,14814,0.000469988452064,4000
hash_sweep,1,2000,32000,11,20000,8,0,15854,0.000458710730815,4000
hash_sweep,1,2000,32000,12,20000,13,0,16799,0.000465573033724,4000
hash_sweep,1,2000,32000,13,20000,8,0,17724,0.000488132376219,4000
hash_sweep,1,2000,32000,14,20000,6,0,18605,0.000525773383567,4000
hash_sweep,1,2000,32000,15,20000,13,0,19459,0.000579132360643,4000
hash_sweep,1,2000,32000,16,20000,14,0,20239,0.000649828337445,4000
capacity,1,500,20000,7,20000,0,0,3237,2.74877521398e-06,2504
capacity,1,1000,20000,7,20000,3,0,5955,0.00019586946655,2504
capacity,1,2000,20000,7,20000,135,0,10074,0.00819372206586,2504
capacity,1,3000,20000,7,20000,985,0,13052,0.0490551526009,2504
capacity,1,4000,20000,7,20000,2891,0,15160,0.137781707292,2504
capacity,1,6000,20000,7,20000,8256,0,17597,0.400756730355,2504
hash_sweep,2,2000,8000,1,20000,4415,0,1760,0.221199216929,1000
hash_sweep,2,2000,8000,2,20000,3179,0,3151,0.154818121746,1000
hash_sweep,2,2000,8000,3,20000,2959,0,4241,0.14689159766,1000
hash_sweep,2,2000,8000,4,20000,3248,0,5085,0.159661300151,1000
hash_sweep,2,2000,8000,5,20000,3818,0,5748,0.184907824237,1000
hash_sweep,2,2000,8000,6,20000,4571,0,6258,0.219831320096,1000
hash_sweep,2,2000,8000,7,20000,5411,0,6642,0.262840454739,1000
hash_sweep,2,2000,8000,8,20000,6481,0,6962,0.312450987236,1000
hash_sweep,2,2000,8000,9,20000,7955,0,7220,0.366997776083,1000
hash_sweep,2,2000,8000,10,20000,9284,0,7408,0.424643690315,1000
hash_sweep,2,2000,8000,11,20000,10112,0,7519,0.483506715298,1000
hash_sweep,2,2000,8000,12,20000,11057,0,7614,0.541815267066,1000
hash_sweep,2,2000,8000,13,20000,12039,0,7690,0.598040232819,1000
hash_sweep,2,2000,8000,14,20000,13231,0,7766,0.650978913929,1000
hash_sweep,2,2000,8000,15,20000,14460,0,7828,0.69978612506,1000
hash_sweep,2,2000,8000,16,20000,15043,0,7860,0.743960639673,1000
hash_sweep,2,2000,16000,1,20000,2342,0,1869,0.117503097415,2000
hash_sweep,2,2000,16000,2,20000,978,0,3532,0.0489290935698,2000
hash_sweep,2,2000,16000,3,20000,604,0,5016,0.0305793544918,2000
hash_sweep,2,2000,16000,4,20000,481,0,6323,0.023968650821,2000
hash_sweep,2,2000,16000,5,20000,461,0,7495,0.0216792170538,2000
hash_sweep,2,2000,16000,6,20000,449,0,8521,0.0215771414632,2000
hash_sweep,2,2000,16000,7,20000,469,0,9407,0.0229297488771,2000
hash_sweep,2,2000,16000,8,20000,545,0,10206,0.025491730766,2000
hash_sweep,2,2000,16000,9,20000,655,0,10916,0.0292244171051,2000
hash_sweep,2,2000,16000,10,20000,763,0,11535,0.0341909034641,2000
hash_sweep,2,2000,16000,11,20000,875,0,12063,0.0405090755276,2000
hash_sweep,2,2000,16000,12,20000,1040,0,12537,0.048325809295,2000
hash_sweep,2,2000,16000,13,20000,1256,0,12946,0.057799363912,2000
hash_sweep,2,2000,16000,14,20000,1567,0,13325,0.0690851046475,2000
hash_sweep,2,2000,16000,15,20000,1880,0,13667,0.0823228645488,2000
hash_sweep,2,2000,16000,16,20000,2212,0,13939,0.0976256194248,2000
hash_sweep,2,2000,20000,1,20000,1802,0,1903,0.095162581964,2504
hash_sweep,2,2000,20000,2,20000,638,0,3636,0.0328585398797,2504
hash_sweep,2,2000,20000,3,20000,369,0,5201,0.0174105864963,2504
hash_sweep,2,2000,20000,4,20000,228,0,6625,0.0118132709066,2504
hash_sweep,2,2000,20000,5,20000,207,0,7930,0.00943092922612,2504
hash_sweep,2,2000,20000,6,20000,175,0,9069,0.00843620926844,2504
hash_sweep,2,2000,20000,7,20000,170,0,10104,0.00819372206586,2504
hash_sweep,2,2000,20000,8,20000,180,0,11063,0.00845547233587,2504
hash_sweep,2,2000,20000,9,20000,190,0,11915,0.00912699305681,2504
hash_sweep,2,2000,20000,10,20000,216,0,12724,0.010185894032,2504
hash_sweep,2,2000,20000,11,20000,222,0,13421,0.0116495035547,2504
hash_sweep,2,2000,20000,12,20000,284,0,14037,0.0135605692898,2504
hash_sweep,2,2000,20000,13,20000,345,0,14576,0.0159802007758,2504
hash_sweep,2,2000,20000,14,20000,434,0,15117,0.0189837988642,2504
hash_sweep,2,2000,20000,15,20000,515,0,15605,0.0226581224589,2504
hash_sweep,2,2000,20000,16,20000,595,0,16010,0.0270986271281,2504
hash_sweep,2,2000,32000,1,20000,1208,0,1923,0.0605869371865,4000
hash_sweep,2,2000,32000,2,20000,278,0,3738,0.0138069779022,4000
hash_sweep,2,2000,32000,3,20000,82,0,5461,0.00499765710079,4000
hash_sweep,2,2000,32000,4,20000,44,0,7038,0.00239405619756,4000
hash_sweep,2,2000,32000,5,20000,30,0,8568,0.00139247083856,4000
hash_sweep,2,2000,32000,6,20000,22,0,9979,0.000935096921134,4000
hash_sweep,2,2000,32000,7,20000,7,0,11313,0.000701519426159,4000
hash_sweep,2,2000,32000,8,20000,6,0,12606,0.00057449622218,4000
hash_sweep,2,2000,32000,9,20000,11,0,13814,0.000504881781943,4000
hash_sweep,2,2000,32000,10,20000,8,0,14943,0.000469988452064,4000
hash_sweep,2,2000,32000,11,20000,8,0,15986,0.000458710730815,4000
hash_sweep,2,2000,32000,12,20000,8,0,16966,0.000465573033724,4000
hash_sweep,2,2000,32000,13,20000,9,0,17886,0.000488132376219,4000
hash_sweep,2,2000,32000,14,20000,12,0,18745,0.000525773383567,4000
hash_sweep,2,2000,32000,15,20000,11,0,19541,0.000579132360643,4000
hash_sweep,2,2000,32000,16,20000,9,0,20276,0.000649828337445,4000
capacity,2,500,20000,7,20000,0,0,3212,2.74877521398e-06,2504
