seed,n,m,k,bloom_bytes,set_live_bytes,set_peak_bytes,combined_live_bytes,bloom_build_ns,set_build_ns
1,2000,20000,1,2504,64024,64024,66528,8625,104958
1,2000,20000,3,2504,64024,64024,66528,23542,104958
1,2000,20000,7,2504,64024,64024,66528,48875,104958
1,2000,20000,11,2504,64024,64024,66528,79916,104958
1,20000,200000,1,25000,640088,640088,665088,83375,1133000
1,20000,200000,3,25000,640088,640088,665088,213792,1133000
1,20000,200000,7,25000,640088,640088,665088,482375,1133000
1,20000,200000,11,25000,640088,640088,665088,756208,1133000
2,2000,20000,1,2504,64024,64024,66528,8542,102834
2,2000,20000,3,2504,64024,64024,66528,22042,102834
2,2000,20000,7,2504,64024,64024,66528,53000,102834
2,2000,20000,11,2504,64024,64024,66528,73833,102834
2,20000,200000,1,25000,640088,640088,665088,85875,1170750
2,20000,200000,3,25000,640088,640088,665088,217917,1170750
2,20000,200000,7,25000,640088,640088,665088,482042,1170750
2,20000,200000,11,25000,640088,640088,665088,775000,1170750
