seed,n,m,k,negative_fraction,queries,repeat,order,method,ns_per_query,returned_positive,expected_exact_positive,backend_lookups
1,2000,20000,1,0,20000,0,0,bloom,3.8833,20000,20000,0
1,2000,20000,1,0,20000,0,1,filtered_set,19.2042,20000,20000,20000
1,2000,20000,1,0,20000,0,2,set,15.4833,20000,20000,20000
1,2000,20000,1,0,20000,1,0,set,14.9625,20000,20000,20000
1,2000,20000,1,0,20000,1,1,filtered_set,19.1375,20000,20000,20000
1,2000,20000,1,0,20000,1,2,bloom,3.675,20000,20000,0
1,2000,20000,1,0,20000,2,0,bloom,3.83125,20000,20000,0
1,2000,20000,1,0,20000,2,1,set,14.90625,20000,20000,20000
1,2000,20000,1,0,20000,2,2,filtered_set,18.55625,20000,20000,20000
1,2000,20000,1,0.5,20000,0,0,set,39.4021,10000,10000,20000
1,2000,20000,1,0.5,20000,0,1,filtered_set,48.3146,10000,10000,10942
1,2000,20000,1,0.5,20000,0,2,bloom,36.9896,10942,10000,0
1,2000,20000,1,0.5,20000,1,0,bloom,25.15205,10942,10000,0
1,2000,20000,1,0.5,20000,1,1,set,93.7,10000,10000,20000
1,2000,20000,1,0.5,20000,1,2,filtered_set,70.2083,10000,10000,10942
1,2000,20000,1,0.5,20000,2,0,bloom,18.45625,10942,10000,0
1,2000,20000,1,0.5,20000,2,1,filtered_set,34.08125,10000,10000,10942
1,2000,20000,1,0.5,20000,2,2,set,43.7729,10000,10000,20000
1,2000,20000,1,0.9,20000,0,0,set,25.0021,2000,2000,20000
1,2000,20000,1,0.9,20000,0,1,bloom,9.85,3701,2000,0
1,2000,20000,1,0.9,20000,0,2,filtered_set,15.94375,2000,2000,3701
1,2000,20000,1,0.9,20000,1,0,set,29.3104,2000,2000,20000
1,2000,20000,1,0.9,20000,1,1,filtered_set,16.30415,2000,2000,3701
1,2000,20000,1,0.9,20000,1,2,bloom,9.4271,3701,2000,0
1,2000,20000,1,0.9,20000,2,0,bloom,9.2875,3701,2000,0
1,2000,20000,1,0.9,20000,2,1,set,24.8521,2000,2000,20000
1,2000,20000,1,0.9,20000,2,2,filtered_set,16.0021,2000,2000,3701
1,2000,20000,1,1,20000,0,0,bloom,6.39585,1905,0,0
1,2000,20000,1,1,20000,0,1,set,23.42295,0,0,20000
1,2000,20000,1,1,20000,0,2,filtered_set,9.17085,0,0,1905
1,2000,20000,1,1,20000,1,0,set,22.7,0,0,20000
1,2000,20000,1,1,20000,1,1,filtered_set,8.46875,0,0,1905
1,2000,20000,1,1,20000,1,2,bloom,6.25,1905,0,0
1,2000,20000,1,1,20000,2,0,bloom,6.3375,1905,0,0
1,2000,20000,1,1,20000,2,1,filtered_set,8.4,0,0,1905
1,2000,20000,1,1,20000,2,2,set,22.91455,0,0,20000
1,2000,20000,3,0,20000,0,0,bloom,10.27915,20000,20000,0
1,2000,20000,3,0,20000,0,1,filtered_set,27.87705,20000,20000,20000
1,2000,20000,3,0,20000,0,2,set,15.9104,20000,20000,20000
1,2000,20000,3,0,20000,1,0,set,14.9583,20000,20000,20000
1,2000,20000,3,0,20000,1,1,filtered_set,25.60205,20000,20000,20000
1,2000,20000,3,0,20000,1,2,bloom,10.45625,20000,20000,0
1,2000,20000,3,0,20000,2,0,bloom,10.41665,20000,20000,0
1,2000,20000,3,0,20000,2,1,set,14.6625,20000,20000,20000
1,2000,20000,3,0,20000,2,2,filtered_set,25.0917,20000,20000,20000
1,2000,20000,3,0.5,20000,0,0,set,27.99375,10000,10000,20000
1,2000,20000,3,0.5,20000,0,1,filtered_set,33.01665,10000,10000,10141
1,2000,20000,3,0.5,20000,0,2,bloom,23.9521,10141,10000,0
1,2000,20000,3,0.5,20000,1,0,bloom,23.39375,10141,10000,0
1,2000,20000,3,0.5,20000,1,1,set,30.025,10000,10000,20000
1,2000,20000,3,0.5,20000,1,2,filtered_set,31.7375,10000,10000,10141
1,2000,20000,3,0.5,20000,2,0,bloom,22.2917,10141,10000,0
1,2000,20000,3,0.5,20000,2,1,filtered_set,31.13545,10000,10000,10141
1,2000,20000,3,0.5,20000,2,2,set,26.7833,10000,10000,20000
1,2000,20000,3,0.9,20000,0,0,set,24.38125,2000,2000,20000
1,2000,20000,3,0.9,20000,0,1,bloom,30.1271,2281,2000,0
1,2000,20000,3,0.9,20000,0,2,filtered_set,43.2229,2000,2000,2281
1,2000,20000,3,0.9,20000,1,0,set,79.47085,2000,2000,20000
1,2000,20000,3,0.9,20000,1,1,filtered_set,45.63545,2000,2000,2281
1,2000,20000,3,0.9,20000,1,2,bloom,40.3604,2281,2000,0
1,2000,20000,3,0.9,20000,2,0,bloom,46.18955,2281,2000,0
1,2000,20000,3,0.9,20000,2,1,set,45.67705,2000,2000,20000
1,2000,20000,3,0.9,20000,2,2,filtered_set,43.1229,2000,2000,2281
1,2000,20000,3,1,20000,0,0,bloom,15.56455,320,0,0
1,2000,20000,3,1,20000,0,1,set,30.3271,0,0,20000
1,2000,20000,3,1,20000,0,2,filtered_set,17.50835,0,0,320
1,2000,20000,3,1,20000,1,0,set,23.55,0,0,20000
1,2000,20000,3,1,20000,1,1,filtered_set,16.65625,0,0,320
1,2000,20000,3,1,20000,1,2,bloom,16.13125,320,0,0
1,2000,20000,3,1,20000,2,0,bloom,15.35205,320,0,0
1,2000,20000,3,1,20000,2,1,filtered_set,16.0479,0,0,320
1,2000,20000,3,1,20000,2,2,set,22.7354,0,0,20000
1,2000,20000,7,0,20000,0,0,bloom,24.35835,20000,20000,0
1,2000,20000,7,0,20000,0,1,filtered_set,38.7771,20000,20000,20000
1,2000,20000,7,0,20000,0,2,set,15.0625,20000,20000,20000
1,2000,20000,7,0,20000,1,0,set,15.59375,20000,20000,20000
1,2000,20000,7,0,20000,1,1,filtered_set,43.75,20000,20000,20000
1,2000,20000,7,0,20000,1,2,bloom,23.65625,20000,20000,0
1,2000,20000,7,0,20000,2,0,bloom,24.2479,20000,20000,0
1,2000,20000,7,0,20000,2,1,set,14.9875,20000,20000,20000
1,2000,20000,7,0,20000,2,2,filtered_set,38.3479,20000,20000,20000
1,2000,20000,7,0.5,20000,0,0,set,27.4875,10000,10000,20000
1,2000,20000,7,0.5,20000,0,1,filtered_set,39.475,10000,10000,10073
1,2000,20000,7,0.5,20000,0,2,bloom,30.53335,10073,10000,0
1,2000,20000,7,0.5,20000,1,0,bloom,30.38125,10073,10000,0
1,2000,20000,7,0.5,20000,1,1,set,27.28125,10000,10000,20000
1,2000,20000,7,0.5,20000,1,2,filtered_set,39.6333,10000,10000,10073
1,2000,20000,7,0.5,20000,2,0,bloom,30.025,10073,10000,0
1,2000,20000,7,0.5,20000,2,1,filtered_set,39.3833,10000,10000,10073
1,2000,20000,7,0.5,20000,2,2,set,28.91665,10000,10000,20000
1,2000,20000,7,0.9,20000,0,0,set,28.025,2000,2000,20000
1,2000,20000,7,0.9,20000,0,1,bloom,38.6208,2123,2000,0
1,2000,20000,7,0.9,20000,0,2,filtered_set,71.0417,2000,2000,2123
1,2000,20000,7,0.9,20000,1,0,set,34.5146,2000,2000,20000
1,2000,20000,7,0.9,20000,1,1,filtered_set,47.4729,2000,2000,2123
1,2000,20000,7,0.9,20000,1,2,bloom,41.5521,2123,2000,0
1,2000,20000,7,0.9,20000,2,0,bloom,64.54375,2123,2000,0
1,2000,20000,7,0.9,20000,2,1,set,44.82915,2000,2000,20000
1,2000,20000,7,0.9,20000,2,2,filtered_set,48.1375,2000,2000,2123
1,2000,20000,7,1,20000,0,0,bloom,48.20415,135,0,0
1,2000,20000,7,1,20000,0,1,set,23.69165,0,0,20000
1,2000,20000,7,1,20000,0,2,filtered_set,47.78335,0,0,135
1,2000,20000,7,1,20000,1,0,set,31.65625,0,0,20000
1,2000,20000,7,1,20000,1,1,filtered_set,57.9667,0,0,135
1,2000,20000,7,1,20000,1,2,bloom,42.25625,135,0,0
1,2000,20000,7,1,20000,2,0,bloom,39.15415,135,0,0
1,2000,20000,7,1,20000,2,1,filtered_set,41.4,0,0,135
1,2000,20000,7,1,20000,2,2,set,24.6875,0,0,20000
1,2000,20000,11,0,20000,0,0,bloom,49.975,20000,20000,0
1,2000,20000,11,0,20000,0,1,filtered_set,53.84585,20000,20000,20000
1,2000,20000,11,0,20000,0,2,set,15.53125,20000,20000,20000
1,2000,20000,11,0,20000,1,0,set,14.90835,20000,20000,20000
1,2000,20000,11,0,20000,1,1,filtered_set,51.1104,20000,20000,20000
1,2000,20000,11,0,20000,1,2,bloom,38.43335,20000,20000,0
1,2000,20000,11,0,20000,2,0,bloom,38.7229,20000,20000,0
1,2000,20000,11,0,20000,2,1,set,15.2896,20000,20000,20000
1,2000,20000,11,0,20000,2,2,filtered_set,63.4958,20000,20000,20000
1,2000,20000,11,0.5,20000,0,0,set,28.175,10000,10000,20000
1,2000,20000,11,0.5,20000,0,1,filtered_set,47.8979,10000,10000,10118
1,2000,20000,11,0.5,20000,0,2,bloom,38.72085,10118,10000,0
1,2000,20000,11,0.5,20000,1,0,bloom,38.34795,10118,10000,0
1,2000,20000,11,0.5,20000,1,1,set,26.9125,10000,10000,20000
1,2000,20000,11,0.5,20000,1,2,filtered_set,46.99585,10000,10000,10118
1,2000,20000,11,0.5,20000,2,0,bloom,37.6146,10118,10000,0
1,2000,20000,11,0.5,20000,2,1,filtered_set,46.8229,10000,10000,10118
1,2000,20000,11,0.5,20000,2,2,set,26.73125,10000,10000,20000
1,2000,20000,11,0.9,20000,0,0,set,24.30625,2000,2000,20000
1,2000,20000,11,0.9,20000,0,1,bloom,41.79585,2201,2000,0
1,2000,20000,11,0.9,20000,0,2,filtered_set,44.19165,2000,2000,2201
1,2000,20000,11,0.9,20000,1,0,set,23.4333,2000,2000,20000
1,2000,20000,11,0.9,20000,1,1,filtered_set,43.2896,2000,2000,2201
1,2000,20000,11,0.9,20000,1,2,bloom,39.36455,2201,2000,0
1,2000,20000,11,0.9,20000,2,0,bloom,39.6375,2201,2000,0
1,2000,20000,11,0.9,20000,2,1,set,23.23125,2000,2000,20000
1,2000,20000,11,0.9,20000,2,2,filtered_set,43.03125,2000,2000,2201
1,2000,20000,11,1,20000,0,0,bloom,40.92085,225,0,0
1,2000,20000,11,1,20000,0,1,set,22.71665,0,0,20000
1,2000,20000,11,1,20000,0,2,filtered_set,43.1875,0,0,225
1,2000,20000,11,1,20000,1,0,set,22.45,0,0,20000
1,2000,20000,11,1,20000,1,1,filtered_set,42.5,0,0,225
1,2000,20000,11,1,20000,1,2,bloom,40.39585,225,0,0
1,2000,20000,11,1,20000,2,0,bloom,40.5042,225,0,0
1,2000,20000,11,1,20000,2,1,filtered_set,42.25625,0,0,225
1,2000,20000,11,1,20000,2,2,set,22.275,0,0,20000
1,20000,200000,1,0,20000,0,0,bloom,3.66455,20000,20000,0
1,20000,200000,1,0,20000,0,1,set,19.0396,20000,20000,20000
1,20000,200000,1,0,20000,0,2,filtered_set,24.9625,20000,20000,20000
1,20000,200000,1,0,20000,1,0,bloom,3.6021,20000,20000,0
1,20000,200000,1,0,20000,1,1,set,18.8625,20000,20000,20000
1,20000,200000,1,0,20000,1,2,filtered_set,24.30835,20000,20000,20000
1,20000,200000,1,0,20000,2,0,set,18.60835,20000,20000,20000
1,20000,200000,1,0,20000,2,1,bloom,3.77085,20000,20000,0
1,20000,200000,1,0,20000,2,2,filtered_set,24.4896,20000,20000,20000
1,20000,200000,1,0.5,20000,0,0,set,32.68125,10000,10000,20000
1,20000,200000,1,0.5,20000,0,1,filtered_set,33.7479,10000,10000,10906
1,20000,200000,1,0.5,20000,0,2,bloom,17.2542,10906,10000,0
1,20000,200000,1,0.5,20000,1,0,set,32.39795,10000,10000,20000
1,20000,200000,1,0.5,20000,1,1,filtered_set,31.84795,10000,10000,10906
1,20000,200000,1,0.5,20000,1,2,bloom,16.3854,10906,10000,0
1,20000,200000,1,0.5,20000,2,0,bloom,15.8,10906,10000,0
1,20000,200000,1,0.5,20000,2,1,filtered_set,31.22295,10000,10000,10906
1,20000,200000,1,0.5,20000,2,2,set,31.8396,10000,10000,20000
1,20000,200000,1,0.9,20000,0,0,bloom,9.7521,3669,2000,0
1,20000,200000,1,0.9,20000,0,1,filtered_set,17.6458,2000,2000,3669
1,20000,200000,1,0.9,20000,0,2,set,28.63125,2000,2000,20000
1,20000,200000,1,0.9,20000,1,0,set,28.4896,2000,2000,20000
1,20000,200000,1,0.9,20000,1,1,bloom,9.35415,3669,2000,0
