bits_per_key,k,mean,ci95_half,seed_count
4.0,1,0.222325,0.02001227245982991,2
4.0,2,0.155725,0.04097751027489007,2
4.0,3,0.145675,0.028906615775309993,2
4.0,4,0.159175,0.0409775102748899,2
4.0,5,0.18519999999999998,0.07242536699747995,2
4.0,6,0.224725,0.04860123311672994,2
4.0,7,0.2642,0.08068440007613993,2
4.0,8,0.32025000000000003,0.04828357799831997,2
4.0,9,0.38444999999999996,0.16899252299412007,2
4.0,10,0.447025,0.21822906634766995,2
4.0,11,0.492775,0.16295707574433038,2
4.0,12,0.544475,0.10641446466734956,2
4.0,13,0.5972,0.06035447249789969,2
4.0,14,0.6572,0.05527199060333955,2
4.0,15,0.7106,0.1575569387313596,2
4.0,16,0.7484500000000001,0.04701295752467976,2
8.0,1,0.11777499999999999,0.008576688197070024,2
8.0,2,0.048325,0.007306067723429989,2
8.0,3,0.02995,0.0031765511841000027,2
8.0,4,0.022625,0.018106341749369988,2
8.0,5,0.0221,0.012070894499580013,2
8.0,6,0.021175,0.01620041103891,2
8.0,7,0.022175,0.01620041103891,2
8.0,8,0.026225,0.013023859854809998,2
8.0,9,0.030175,0.032718477196230014,2
8.0,10,0.035075,0.03907157956443001,2
8.0,11,0.041249999999999995,0.03176551184099998,2
8.0,12,0.0491,0.03684799373556,2
8.0,13,0.058475,0.054954335484929985,2
8.0,14,0.07255,0.07369598747112,2
8.0,15,0.087325,0.08481391661547,2
8.0,16,0.1022,0.10673211978576005,2
10.0,1,0.09267500000000001,0.032718477196230014,2
10.0,2,0.032025,0.0015882755920500014,2
10.0,3,0.017225,0.015565100802090004,2
10.0,4,0.011275,0.0015882755920500014,2
10.0,5,0.0092,0.014612135446859999,2
10.0,6,0.008,0.009529653552300003,2
10.0,7,0.007625,0.011117929144350003,2
10.0,8,0.00815,0.010800274025939995,2
10.0,9,0.009000000000000001,0.006353102368199995,2
10.0,10,0.010375,0.00540013701297,2
10.0,11,0.011175000000000001,0.0009529653552299942,2
10.0,12,0.01405,0.0019059307104600102,2
10.0,13,0.01685,0.0050824818945600135,2
10.0,14,0.019575000000000002,0.02700068506485,2
10.0,15,0.023625,0.02700068506485,2
10.0,16,0.027424999999999998,0.029541926012129984,2
16.0,1,0.059975,0.005400137012970021,2
16.0,2,0.013675,0.002858896065689994,2
16.0,3,0.004425,0.004129516539329997,2
16.0,4,0.002025,0.0022235858288700006,2
16.0,5,0.001475,0.00031765511841000085,2
16.0,6,0.000975,0.0015882755920500005,2
16.0,7,0.00045,0.0012706204736400001,2
16.0,8,0.000325,0.00031765511841000014,2
16.0,9,0.00047500000000000005,0.00095296535523,2
16.0,10,0.000325,0.00095296535523,2
16.0,11,0.0004,0.0,2
16.0,12,0.000525,0.0015882755920499996,2
16.0,13,0.00042500000000000003,0.00031765511840999976,2
16.0,14,0.00045,0.0019059307104599998,2
16.0,15,0.0006000000000000001,0.0006353102368199995,2
16.0,16,0.000575,0.0015882755920499998,2
