seed,n,k,negative_fraction,bloom,filtered_set,set,speedup,backend_fraction,extra_backend_ns_break_even
1,2000,1,0.0,3.83125,19.1375,14.9625,0.7818419333768779,1.0,inf
1,2000,1,0.5,25.15205,48.3146,43.7729,0.9059973589763757,0.5471,10.028041510267165
1,2000,1,0.9,9.4271,16.0021,25.0021,1.5624261815636697,0.18505,-11.043622308117062
1,2000,1,1.0,6.3375,8.46875,22.91455,2.7057771217712174,0.09525,-15.966620613429123
1,2000,3,0.0,10.41665,25.60205,14.9583,0.5842618071599736,1.0,inf
1,2000,3,0.5,23.39375,31.7375,27.99375,0.8820401732965734,0.50705,7.59458362917132
1,2000,3,0.9,40.3604,43.2229,45.67705,1.056778929687735,0.11405,-2.7700773181330756
1,2000,3,1.0,15.56455,16.65625,23.55,1.4138836772983114,0.016,-7.00584349593496
1,2000,7,0.0,24.2479,38.7771,15.0625,0.3884380214095433,1.0,inf
1,2000,7,0.5,30.38125,39.475,27.4875,0.6963267891070297,0.50365,24.151304523018034
1,2000,7,0.9,41.5521,48.1375,34.5146,0.7170002596728122,0.10615,15.240700341220563
1,2000,7,1.0,42.25625,47.78335,24.6875,0.5166548599041298,0.00675,23.252806443493583
1,2000,11,0.0,38.7229,53.84585,15.2896,0.2839513165824293,1.0,inf
1,2000,11,0.5,38.34795,46.99585,26.9125,0.572656947368757,0.5059,40.64632665452337
1,2000,11,0.9,39.6375,43.2896,23.4333,0.5413147730632761,0.11005,22.311702904657565
1,2000,11,1.0,40.5042,42.5,22.45,0.528235294117647,0.01125,20.278128950695322
1,20000,1,0.0,3.66455,24.4896,18.8625,0.7702249117992944,1.0,inf
1,20000,1,0.5,16.3854,31.84795,32.39795,1.0172695573812442,0.5453,-1.20958873982846
1,20000,1,0.9,9.35415,17.6458,28.63125,1.622553242131272,0.18345,-13.453493356193743
1,20000,1,1.0,6.14165,8.88125,26.95415,3.034950035186488,0.0928,-19.92162698412698
1,20000,3,0.0,10.2271,33.2729,18.4542,0.5546315469947014,1.0,inf
1,20000,3,0.5,23.59165,37.4104,32.5729,0.8706910377862839,0.51065,9.885562480841946
1,20000,3,0.9,22.4479,27.2208,28.9354,1.0629885969552695,0.1181,-1.9442113618324082
1,20000,3,1.0,15.425,16.54165,27.44375,1.659069681682299,0.0203,-11.127998366846995
1,20000,7,0.0,23.51665,47.46665,18.89585,0.398086867305782,1.0,inf
1,20000,7,0.5,30.35625,44.425,32.70835,0.736259988745076,0.50375,23.610377833753137
1,20000,7,0.9,35.15,39.96045,28.5167,0.7136230948350181,0.10755,12.822847218331562
1,20000,7,1.0,37.6521,40.47705,28.8229,0.7120800552411799,0.00845,11.753466794412786
1,20000,11,0.0,37.9604,62.3125,18.67915,0.2997656970912738,1.0,inf
1,20000,11,0.5,38.09375,51.49375,32.74795,0.6359597038475544,0.5067,38.00081086559902
1,20000,11,0.9,39.8729,44.6479,28.63545,0.641361631790073,0.1116,18.023919405673123
1,20000,11,1.0,39.6854,42.28335,27.4479,0.6491420381781482,0.0127,15.026283804314797
2,2000,1,0.0,3.625,18.0708,14.90415,0.8247642605750715,1.0,inf
2,2000,1,0.5,16.2146,26.32915,27.43545,1.0420180674271673,0.54505,-2.431695790746238
2,2000,1,0.9,9.2625,13.96875,24.3458,1.742876062639821,0.18045,-12.661887621255568
2,2000,1,1.0,6.2208,8.91665,23.49165,2.6345824945467187,0.0901,-16.018243763050883
2,2000,3,0.0,10.35625,24.2708,14.6125,0.6020609127016827,1.0,inf
2,2000,3,0.5,22.9604,31.33125,26.93125,0.8595651306602832,0.5091,8.963128946832352
2,2000,3,0.9,23.6375,27.15835,24.6854,0.9089432900010495,0.1169,2.800305741139166
2,2000,3,1.0,15.1583,16.0021,22.70835,1.4190856200123734,0.01845,-6.832306046559014
2,2000,7,0.0,23.52085,37.3604,15.46665,0.41398512863887965,1.0,inf
